DATE,DURATION,PROTOCOL,SRC IP,SRC PORT,DEST IP,DEST PORT,PACKETS,BYTES,FLOWS,FLAGS,TOS,CLASS
18:41.7,9.773,TCP  ,EXT_SERVER,22,10012_211,60864,19,3185,1,.AP.SF,0,suspicious
18:41.7,9.773,TCP  ,10012_211,60864,EXT_SERVER,22,15,2163,1,.AP.SF,0,suspicious
21:42.6,13.775,TCP  ,EXT_SERVER,22,10001_123,2590,18,2985,1,.AP.S.,0,suspicious
21:42.6,13.775,TCP  ,10001_123,2590,EXT_SERVER,22,14,2825,1,.APRS.,0,suspicious
18:51.1,9.873,TCP  ,EXT_SERVER,22,10012_211,37119,19,3185,1,.AP.SF,0,suspicious
18:51.1,9.873,TCP  ,10012_211,37119,EXT_SERVER,22,18,2319,1,.AP.SF,0,suspicious
18:59.9,8.835,TCP  ,10006_27,58993,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
18:59.9,8.835,TCP  ,EXT_SERVER,22,10006_27,58993,20,3249,1,.AP.SF,0,suspicious
19:00.6,9.299,TCP  ,EXT_SERVER,22,10012_211,40875,19,3185,1,.AP.SF,0,suspicious
19:00.6,9.299,TCP  ,10012_211,40875,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
22:06.4,16.565,TCP  ,EXT_SERVER,22,10001_123,2491,22,3357,1,.AP.S.,0,suspicious
22:06.4,16.565,TCP  ,10001_123,2491,EXT_SERVER,22,15,2935,1,.APRS.,0,suspicious
19:20.4,9.676,TCP  ,EXT_SERVER,22,10012_211,47686,19,3185,1,.AP.SF,0,suspicious
19:20.4,9.676,TCP  ,10012_211,47686,EXT_SERVER,22,20,2423,1,.AP.SF,0,suspicious
21:57.5,34.984,TCP  ,10004_35,18927,EXT_SERVER,22,4,257,1,.APRSF,0,suspicious
21:57.5,34.984,TCP  ,EXT_SERVER,22,10004_35,18927,9,1541,1,.AP.SF,0,suspicious
19:29.7,10.265,TCP  ,EXT_SERVER,22,10012_211,50484,19,3185,1,.AP.SF,0,suspicious
19:29.7,10.265,TCP  ,10012_211,50484,EXT_SERVER,22,18,2319,1,.AP.SF,0,suspicious
19:39.5,0.049,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50144,7,556,1,.AP.SF,0,normal
19:39.5,0.049,TCP  ,OPENSTACK_NET,50144,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
19:39.5,0.058,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50145,7,702,1,.AP.SF,0,normal
19:39.5,0.058,TCP  ,OPENSTACK_NET,50145,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
19:39.5,1.568,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50146,7,639,1,.AP.SF,0,normal
19:39.5,1.568,TCP  ,OPENSTACK_NET,50146,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
22:25.6,17.597,TCP  ,EXT_SERVER,22,10001_123,2380,19,3093,1,.AP.S.,0,suspicious
22:25.6,17.597,TCP  ,10001_123,2380,EXT_SERVER,22,15,2935,1,.APRS.,0,suspicious
19:39.6,10.2,TCP  ,EXT_SERVER,22,10012_211,57897,19,3185,1,.AP.SF,0,suspicious
19:39.6,10.2,TCP  ,10012_211,57897,EXT_SERVER,22,19,2371,1,.AP.SF,0,suspicious
19:49.5,9.975,TCP  ,EXT_SERVER,22,10012_211,37095,19,3185,1,.AP.SF,0,suspicious
19:49.5,9.975,TCP  ,10012_211,37095,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
19:55.0,8.526,TCP  ,10006_27,53123,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
19:55.0,8.526,TCP  ,EXT_SERVER,22,10006_27,53123,19,3185,1,.AP.SF,0,suspicious
23:05.9,0,TCP  ,10037_181,23930,EXT_SERVER,7547,1,46,1,....S.,0,suspicious
23:05.9,0,TCP  ,EXT_SERVER,7547,10037_181,23930,1,40,1,.A.R..,0,suspicious
19:59.1,8.786,TCP  ,EXT_SERVER,22,10012_211,43858,19,3185,1,.AP.SF,0,suspicious
19:59.1,8.786,TCP  ,10012_211,43858,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
22:48.3,19.372,TCP  ,10004_35,35507,EXT_SERVER,22,9,524,1,.APRSF,0,suspicious
22:48.3,19.372,TCP  ,EXT_SERVER,22,10004_35,35507,11,3708,1,.AP.SF,0,suspicious
20:07.5,10.388,TCP  ,EXT_SERVER,22,10012_211,49530,19,3197,1,.AP.SF,0,suspicious
20:07.5,10.388,TCP  ,10012_211,49530,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
20:17.6,9.292,TCP  ,EXT_SERVER,22,10012_211,60795,19,3185,1,.AP.SF,0,suspicious
20:17.6,9.292,TCP  ,10012_211,60795,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
23:11.7,15.739,TCP  ,EXT_SERVER,22,10001_123,3766,18,2985,1,.AP.S.,0,suspicious
23:11.7,15.739,TCP  ,10001_123,3766,EXT_SERVER,22,16,2917,1,.APRS.,0,suspicious
20:26.5,10.169,TCP  ,EXT_SERVER,22,10012_211,39534,19,3185,1,.AP.SF,0,suspicious
20:26.5,10.169,TCP  ,10012_211,39534,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
20:36.4,9.669,TCP  ,EXT_SERVER,22,10012_211,52674,19,3185,1,.AP.SF,0,suspicious
20:36.4,9.669,TCP  ,10012_211,52674,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
20:48.7,0.071,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63215,7,702,1,.AP.SF,0,normal
20:48.7,0.071,TCP  ,OPENSTACK_NET,63215,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
20:48.7,0.05,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63216,7,556,1,.AP.SF,0,normal
20:48.7,0.05,TCP  ,OPENSTACK_NET,63216,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
20:49.7,0.056,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63217,7,639,1,.AP.SF,0,normal
20:49.7,0.056,TCP  ,OPENSTACK_NET,63217,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
23:37.5,15.256,TCP  ,EXT_SERVER,22,10001_123,2496,20,3065,1,.AP.S.,0,suspicious
23:37.5,15.256,TCP  ,10001_123,2496,EXT_SERVER,22,15,2871,1,.APRS.,0,suspicious
20:45.7,9.485,TCP  ,EXT_SERVER,22,10012_211,38663,20,3237,1,.AP.SF,0,suspicious
20:45.7,9.485,TCP  ,10012_211,38663,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
20:54.9,9.223,TCP  ,EXT_SERVER,22,10012_211,51497,20,3249,1,.AP.SF,0,suspicious
20:54.9,9.223,TCP  ,10012_211,51497,EXT_SERVER,22,15,2163,1,.AP.SF,0,suspicious
24:17.1,9.903,TCP  ,10004_35,48489,EXT_SERVER,22,8,1081,1,.APRSF,0,suspicious
24:17.1,9.903,TCP  ,EXT_SERVER,22,10004_35,48489,8,2482,1,.AP.S.,0,suspicious
24:21.7,10.964,TCP  ,10008_98,54500,EXT_SERVER,22,17,2261,1,.APRSF,0,suspicious
24:21.7,10.964,TCP  ,EXT_SERVER,22,10008_98,54500,20,3249,1,.AP.SF,0,suspicious
21:39.5,0.064,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50179,7,561,1,.AP.SF,0,normal
21:39.5,0.064,TCP  ,OPENSTACK_NET,50179,EXT_SERVER,8000,5,543,1,.AP.SF,0,normal
21:39.7,0.063,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50180,7,1726,1,.AP.SF,0,normal
